observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
505,A,,0.333333343,42,124.75,11,1
506,A,,0.666666687,46,161.75,37,1
507,A,,0.666666687,19,103,1,1
508,A,,1,32,0,40,0
509,A,,1,37,65.25,48,1
510,A,,1,43,0,32,0
511,A,,0,16,79.25,0,0
512,A,,0.333333343,41,0,65,0
513,A,,0.333333343,29,103,20,1
514,A,,0.333333343,33,0,114,0
515,A,,0.666666687,46,99,47,0
516,A,,1,37,0,0,0
517,A,,1,43,0,4.529999733,0
518,A,,1,40,295,24,1
519,A,,1,45,84,4,1
520,A,,1,41,0,86,0
521,A,,0,30,18,572,0
522,A,,0,23,0,31,0
523,A,,0,22,0,298.5,0
524,A,,0,23,408.0100098,3,0
525,A,,0,48,175,0,1
526,A,,0.333333343,28,176.75,16,1
527,A,,0.333333343,23,7.239999771,11,1
528,A,,0.333333343,36,0,6,1
529,A,,0.333333343,53,110.25,56,1
530,A,,0.333333343,58,145,43,1
531,A,,0.666666687,24,0,5,0
532,A,,1,50,123.4000015,0,1
533,A,,1,38,47.09000015,0,0
534,A,,1,35,0,14,0
535,A,,1,49,71.86000061,0,1
536,A,,0,28,0,5,0
537,A,,0,23,0,52,1
538,A,,0,32,0,8,0
539,A,,0.333333343,63,139.25,12,0
540,A,,0.333333343,24,0,712,0
541,A,,0.333333343,23,32.70000076,1,0
542,A,,0.666666687,46,0,283,0
543,A,,0.666666687,32,132.5,7,0
544,A,,0.666666687,26,0,36,1
545,A,,0.666666687,45,0,63,0
546,A,,0.333333343,26,0,80,0
547,A,,0.333333343,44,6,3.630000114,0
548,A,,0.333333343,38,296,5,1
549,A,,0.333333343,54,0,49,1
550,A,,0.666666687,31,215.75,21,1
551,A,,0.666666687,21,0,54,1
552,A,,0.666666687,27,0,9,1
553,A,,0.666666687,22,0,0,1
554,A,,0.666666687,29,194.5,16,1
555,A,,1,46,86,0,1
556,A,,1,37,0,6,0
557,A,,0.333333343,32,54,1,1
558,A,,0.333333343,28,52,15,1
559,A,,0.333333343,27,0,1,1
560,A,,0.333333343,33,0,104,1
561,A,,0.666666687,27,88.29000092,9,1
562,A,,0.666666687,40,139.25,32,1
563,A,,1,35,0,62,0
564,A,,1,36,0,74,0
565,A,,1,17,0,1,0
566,A,,1,34,144.9499969,1,1
567,A,,1,19,0,1,0
568,A,,1,21,44.61999893,2,1
569,A,,0.333333343,23,0,25,1
570,A,,0.333333343,41,0,14,0
571,A,,0.333333343,58,17,15,0
572,A,,0.333333343,24,68,45,0
573,A,,0.333333343,60,0,71,0
574,A,,0.666666687,27,119.2099991,0,1
575,A,,0.666666687,19,132.5,4,0
576,A,,1,46,66.5,55,1
577,A,,0,52,0,127,0
578,A,,0,23,200.0899963,2,1
579,A,,0,25,42,5,1
580,A,,0.333333343,32,0,22,0
581,A,,0.333333343,42,0,12,0
582,A,,0.333333343,32,0,64,1
583,A,,0.333333343,20,100,3,1
584,A,,0.333333343,40,162.25,0,1
585,A,,0.666666687,32,87,26,1
586,A,,0.666666687,37,0,29,0
587,A,,0.666666687,32,9,10,0
588,A,,0,32,0,113,0
589,A,,0,29,0,0,1
590,A,,0,49,0,103,0
591,A,,0,37,0,22,0
592,A,,0,30,27,10,1
593,A,,0.333333343,25,231.0899963,15,1
594,A,,0.333333343,33,0,357,0
595,A,,0.333333343,24,0,1,0
596,A,,0.333333343,34,52,0,1
597,A,,0.333333343,41,0,3,0
598,A,,0.666666687,58,0,32,0
599,A,,1,40,0,3,0
600,A,,1,35,14.5,0,1
601,A,,0,39,93,13,1
602,A,,0,19,86.5,2,1
603,A,,0.333333343,34,0,30,0
604,A,,0.666666687,33,0,0,0
605,A,,1,42,7.239999771,3,1
606,A,,0.333333343,17,0,1,0
607,A,,0.666666687,23,0,66,1
608,A,,1,21,21,36,1
609,A,,1,27,131.3099976,9,1
610,A,,1,43,0,239,1
611,A,,1,62,0,26,1
612,A,,1,43,358,159,1
613,A,,0,0,0,85,0
614,A,,0,40,0,33,0
615,A,,0.333333343,40,0,20,0
616,A,,0.333333343,57,0,526,0
617,A,,0.666666687,28,0,4,0
618,A,,0.666666687,38,341.6600037,115,0
619,A,,0.666666687,19,0,1,1
620,A,,0.666666687,39,0,19,0
621,A,,1,51,124,172,0
622,A,,1,37,0,279,0
623,A,,0,42,249.5,44.34000015,1
624,A,,0,49,5,0,0
625,A,,0,23,0,2.340000153,0
626,A,,0.333333343,33,70,0,0
627,A,,0.333333343,37,31,25,0
628,A,,0.333333343,22,197.1799927,6.340000153,1
629,A,,0.666666687,26,144,3.340000153,1
630,A,,0.666666687,28,33,17,0
631,A,,0.666666687,30,185,10.34000015,1
632,A,,0.333333343,21,108.75,17,0
633,A,,0.333333343,27,86.93000031,31,1
634,A,,0.333333343,31,536.75,236,0
635,A,,0.666666687,35,142.75,8,0
636,A,,0.666666687,44,164.7600098,28,1
637,A,,1,41,14.5,82,1
638,A,,1,48,108.6999969,52,0
639,A,,0,57,0,516,0
640,A,,0.333333343,61,0,340,0
641,A,,0.333333343,18,52.75,1,0
